Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature
狂暴小建 (a541021),516009420,166575,8337,3105,207369,18023,18201933,True,False
hashinshin,515812965,192255,12540,2483,570621,159892,11386166,True,False
JoshOG,510984165,159300,85051,2957,1748928,120782,20688501,True,False
B0aty,510323715,151215,22375,3152,516113,49577,8448691,True,True
AustinShow,509643945,21000,72199,24739,840624,378656,11648873,True,True
39daph,509052375,135495,12648,3766,505362,470589,8983449,True,False
scump,506838930,71355,79976,6789,893010,275270,8661072,True,False
플러리 (flurry1989),505333050,128790,12084,3859,169505,51935,10969148,True,False
Kyle,501208575,161295,9339,3059,182260,60506,5692219,True,True
SummonersInnLive,499421415,64875,110095,6328,503346,46779,13724263,True,False
Aydan,495563580,140595,51268,3507,1701314,425036,11009240,True,True
Faker,492835710,17115,56325,29414,2716270,750480,26508938,True,False
Mongraal,492733995,27060,89706,18180,2951980,1454481,19515587,True,False
탬탬버린 (2chamcham2),490230510,95055,16243,5107,489270,144698,13076008,True,False
EmadGG,487281450,132630,67732,2741,702744,623391,9556065,True,False
쌍베 (pacific8815),483895050,120435,20936,3992,171858,54326,14452008,True,False
FolagorLives,482387190,79995,57813,5032,786983,417899,9640983,True,False
lilypichu,477949200,56280,33075,8407,1363222,657630,14729189,True,False
mistermv,476597370,71655,39961,6627,479900,150486,12959273,True,True
Bonjwa,473157810,251250,11063,1802,123954,20250,14247514,True,False
KingGeorge,472786395,160140,12621,2914,767727,250434,6445996,True,False
KingRichard,472405995,137175,17327,3312,1536757,109795,9570639,True,False
melharucos,468792120,130275,13825,3519,328473,59167,17845821,True,True
INSCOPE21TV,468467130,59925,51244,7554,658658,491663,10630158,True,True
JohnPitterTV,461605275,508965,4148,900,286184,211365,19054606,True,False
Zizaran,460519830,156195,20745,2552,267004,47149,16917944,True,False
imls,460332570,78945,32758,5621,392024,177673,8610645,True,False
TSM_ImperialHal,459076530,120975,23107,3550,302593,287810,8907366,True,False
악어 (jdm2088),458883255,32625,65622,15405,276488,132821,5377506,True,False
Ramee,457242510,159825,10845,2825,132642,74094,6606894,True,False
Towelliee,453487500,183090,15495,2392,705098,21398,17009119,True,False
SPYGEA,452479680,143730,17228,3131,222046,92067,10569192,True,False
FollowGrubby,451910415,132015,15296,3365,430649,46282,12249560,True,False
Amar,449223195,100800,45549,4207,604374,281928,11787544,True,False
